// List Of Arcs									
Arc 	1						   202.28 	 Duree 	    36.41 * 
Arc 	2						   296.36 	 Duree 	    53.35 * 
Arc 	3						   205.24 	 Duree 	    36.94 * 
Arc 	4						   132.29 	 Duree 	    23.81 * 
Arc 	5						   198.66 	 Duree 	    35.76 * 
Arc 	6						   115.42 	 Duree 	    20.78 * 
Arc 	7						    90.35 	 Duree 	    16.26 * 
Arc 	8						   108.24 	 Duree 	    19.48 * 
Arc 	9						   151.41 	 Duree 	    27.25 * 
Arc 	10						   122.50 	 Duree 	    22.05 * 
Arc 	11						    94.74 	 Duree 	    17.05 * 
Arc 	12						   102.08 	 Duree 	    18.37 * 
Arc 	13						    94.74 	 Duree 	    17.05 * 
Arc 	14						   116.85 	 Duree 	    21.03 * 
Arc 	15						   102.19 	 Duree 	    18.39 * 
Arc 	16						   116.85 	 Duree 	    21.03 * 
Arc 	17						   103.51 	 Duree 	    18.63 * 
Arc 	18						   106.30 	 Duree 	    19.13 * 
Arc 	19						   106.93 	 Duree 	    19.25 * 
Arc 	20						   130.84 	 Duree 	    23.55 * 
Arc 	21						    97.43 	 Duree 	    17.54 * 
Arc 	22						   120.79 	 Duree 	    21.74 * 
Arc 	23						   120.79 	 Duree 	    21.74 * 
Arc 	24						   101.07 	 Duree 	    18.19 * 
Arc 	25						    92.61 	 Duree 	    16.67 * 
Arc 	26						   133.91 	 Duree 	    24.10 * 
Arc 	27						   194.01 	 Duree 	    34.92 * 
Arc 	28						   132.29 	 Duree 	    23.81 * 
Arc 	29						   108.25 	 Duree 	    19.49 * 
Arc 	30						   101.07 	 Duree 	    18.19 * 
Arc 	31						   132.74 	 Duree 	    23.89 * 
Arc 	32						   106.12 	 Duree 	    19.10 * 
Arc 	33						    87.20 	 Duree 	    15.70 * 
Arc 	34						   102.08 	 Duree 	    18.37 * 
Arc 	35						   106.12 	 Duree 	    19.10 * 
Arc 	36						   107.06 	 Duree 	    19.27 * 
Arc 	37						   142.13 	 Duree 	    25.58 * 
Arc 	38						   102.19 	 Duree 	    18.39 * 
Arc 	39						    89.27 	 Duree 	    16.07 * 
Arc 	40						   111.76 	 Duree 	    20.12 * 
Arc 	41						   101.79 	 Duree 	    18.32 * 
Arc 	42						   108.15 	 Duree 	    19.47 * 
Arc 	43						   144.37 	 Duree 	    25.99 * 
Arc 	44						   130.84 	 Duree 	    23.55 * 
Arc 	45						   112.31 	 Duree 	    20.22 * 
Arc 	46						    89.98 	 Duree 	    16.20 * 
Arc 	47						   136.56 	 Duree 	    24.58 * 
Arc 	48						    75.28 	 Duree 	    13.55 * 
Arc 	49						   106.07 	 Duree 	    19.09 * 
Arc 	50						   142.07 	 Duree 	    25.57 * 
Arc 	51						   151.35 	 Duree 	    27.24 * 
Arc 	52						   120.00 	 Duree 	    21.60 * 
Arc 	53						   144.45 	 Duree 	    26.00 * 
Arc 	54						   202.28 	 Duree 	    36.41 * 
Arc 	55						   105.23 	 Duree 	    18.94 * 
Arc 	56						   105.23 	 Duree 	    18.94 * 
Arc 	57						   106.18 	 Duree 	    19.11 * 
Arc 	58						    90.09 	 Duree 	    16.22 * 
Arc 	59						   296.36 	 Duree 	    53.35 * 
Arc 	60						   106.18 	 Duree 	    19.11 * 
Arc 	61						   109.98 	 Duree 	    19.80 * 
Arc 	62						   131.55 	 Duree 	    23.68 * 
Arc 	63						   154.46 	 Duree 	    27.80 * 
Arc 	64						   228.96 	 Duree 	    41.21 * 
Arc 	65						   109.98 	 Duree 	    19.80 * 
Arc 	66						   132.74 	 Duree 	    23.89 * 
Arc 	67						    87.20 	 Duree 	    15.70 * 
Arc 	68						    86.35 	 Duree 	    15.54 * 
Arc 	69						   123.84 	 Duree 	    22.29 * 
Arc 	70						   147.95 	 Duree 	    26.63 * 
Arc 	71						   134.10 	 Duree 	    24.14 * 
Arc 	72						   157.44 	 Duree 	    28.34 * 
Arc 	73						   123.84 	 Duree 	    22.29 * 
Arc 	74						    86.38 	 Duree 	    15.55 * 
Arc 	75						   142.13 	 Duree 	    25.58 * 
Arc 	76						   111.76 	 Duree 	    20.12 * 
Arc 	77						   103.51 	 Duree 	    18.63 * 
Arc 	78						   112.54 	 Duree 	    20.26 * 
Arc 	79						   121.54 	 Duree 	    21.88 * 
Arc 	80						   149.93 	 Duree 	    26.99 * 
Arc 	81						   199.12 	 Duree 	    35.84 * 
Arc 	82						   107.11 	 Duree 	    19.28 * 
Arc 	83						   108.15 	 Duree 	    19.47 * 
Arc 	84						    94.89 	 Duree 	    17.08 * 
Arc 	85						    96.02 	 Duree 	    17.28 * 
Arc 	86						   109.61 	 Duree 	    19.73 * 
Arc 	87						    89.98 	 Duree 	    16.20 * 
Arc 	88						   115.62 	 Duree 	    20.81 * 
Arc 	89						   136.56 	 Duree 	    24.58 * 
Arc 	90						   106.07 	 Duree 	    19.09 * 
Arc 	91						   151.35 	 Duree 	    27.24 * 
Arc 	92						   115.62 	 Duree 	    20.81 * 
Arc 	93						   106.55 	 Duree 	    19.18 * 
Arc 	94						   143.68 	 Duree 	    25.86 * 
Arc 	95						   302.96 	 Duree 	    54.53 * 
Arc 	96						   106.55 	 Duree 	    19.18 * 
Arc 	97						   194.01 	 Duree 	    34.92 * 
Arc 	98						   144.45 	 Duree 	    26.00 * 
Arc 	99						    94.77 	 Duree 	    17.06 * 
Arc 	100						   131.59 	 Duree 	    23.69 * 
Arc 	101						   107.16 	 Duree 	    19.29 * 
Arc 	102						    90.09 	 Duree 	    16.22 * 
Arc 	103						   168.81 	 Duree 	    30.39 * 
Arc 	104						   117.47 	 Duree 	    21.15 * 
Arc 	105						   154.46 	 Duree 	    27.80 * 
Arc 	106						   161.12 	 Duree 	    29.00 * 
Arc 	107						   164.17 	 Duree 	    29.55 * 
Arc 	108						   134.10 	 Duree 	    24.14 * 
Arc 	109						   116.83 	 Duree 	    21.03 * 
Arc 	110						   157.44 	 Duree 	    28.34 * 
Arc 	111						    86.38 	 Duree 	    15.55 * 
Arc 	112						    96.33 	 Duree 	    17.34 * 
Arc 	113						   101.85 	 Duree 	    18.33 * 
Arc 	114						   149.52 	 Duree 	    26.91 * 
Arc 	115						   121.54 	 Duree 	    21.88 * 
Arc 	116						   117.57 	 Duree 	    21.16 * 
Arc 	117						    85.35 	 Duree 	    15.36 * 
Arc 	118						   149.93 	 Duree 	    26.99 * 
Arc 	119						   107.11 	 Duree 	    19.28 * 
Arc 	120						    88.85 	 Duree 	    15.99 * 
Arc 	121						   109.61 	 Duree 	    19.73 * 
Arc 	122						    88.85 	 Duree 	    15.99 * 
Arc 	123						    95.05 	 Duree 	    17.11 * 
Arc 	124						   128.33 	 Duree 	    23.10 * 
Arc 	125						    93.39 	 Duree 	    16.81 * 
Arc 	126						   143.68 	 Duree 	    25.86 * 
Arc 	127						    92.04 	 Duree 	    16.57 * 
Arc 	128						   102.31 	 Duree 	    18.42 * 
Arc 	129						   107.92 	 Duree 	    19.42 * 
Arc 	130						   162.71 	 Duree 	    29.29 * 
Arc 	131						   130.22 	 Duree 	    23.44 * 
Arc 	132						   170.52 	 Duree 	    30.69 * 
Arc 	133						   107.16 	 Duree 	    19.29 * 
Arc 	134						   107.92 	 Duree 	    19.42 * 
Arc 	135						   216.24 	 Duree 	    38.92 * 
Arc 	136						   222.20 	 Duree 	    40.00 * 
Arc 	137						   126.19 	 Duree 	    22.71 * 
Arc 	138						    85.62 	 Duree 	    15.41 * 
Arc 	139						   107.43 	 Duree 	    19.34 * 
Arc 	140						    85.62 	 Duree 	    15.41 * 
Arc 	141						   220.43 	 Duree 	    39.68 * 
Arc 	142						   110.22 	 Duree 	    19.84 * 
Arc 	143						   144.58 	 Duree 	    26.02 * 
Arc 	144						   164.17 	 Duree 	    29.55 * 
Arc 	145						   103.00 	 Duree 	    18.54 * 
Arc 	146						   220.43 	 Duree 	    39.68 * 
Arc 	147						   103.84 	 Duree 	    18.69 * 
Arc 	148						    81.29 	 Duree 	    14.63 * 
Arc 	149						    85.35 	 Duree 	    15.36 * 
Arc 	150						   127.09 	 Duree 	    22.88 * 
Arc 	151						    96.62 	 Duree 	    17.39 * 
Arc 	152						   114.69 	 Duree 	    20.65 * 
Arc 	153						   149.54 	 Duree 	    26.92 * 
Arc 	154						   105.75 	 Duree 	    19.04 * 
Arc 	155						    96.62 	 Duree 	    17.39 * 
Arc 	156						   302.96 	 Duree 	    54.53 * 
Arc 	157						   133.96 	 Duree 	    24.11 * 
Arc 	158						    95.05 	 Duree 	    17.11 * 
Arc 	159						    90.99 	 Duree 	    16.38 * 
Arc 	160						   116.41 	 Duree 	    20.95 * 
Arc 	161						    93.39 	 Duree 	    16.81 * 
Arc 	162						   162.71 	 Duree 	    29.29 * 
Arc 	163						   106.33 	 Duree 	    19.14 * 
Arc 	164						   109.06 	 Duree 	    19.63 * 
Arc 	165						   142.12 	 Duree 	    25.58 * 
Arc 	166						   115.68 	 Duree 	    20.82 * 
Arc 	167						   170.52 	 Duree 	    30.69 * 
Arc 	168						   128.85 	 Duree 	    23.19 * 
Arc 	169						   107.43 	 Duree 	    19.34 * 
Arc 	170						   137.13 	 Duree 	    24.68 * 
Arc 	171						   155.19 	 Duree 	    27.93 * 
Arc 	172						   101.00 	 Duree 	    18.18 * 
Arc 	173						   101.98 	 Duree 	    18.36 * 
Arc 	174						   101.98 	 Duree 	    18.36 * 
Arc 	175						   163.37 	 Duree 	    29.41 * 
Arc 	176						   103.84 	 Duree 	    18.69 * 
Arc 	177						   118.94 	 Duree 	    21.41 * 
Arc 	178						    96.09 	 Duree 	    17.30 * 
Arc 	179						   104.36 	 Duree 	    18.78 * 
Arc 	180						   118.32 	 Duree 	    21.30 * 
Arc 	181						    96.09 	 Duree 	    17.30 * 
Arc 	182						   119.92 	 Duree 	    21.58 * 
Arc 	183						   114.69 	 Duree 	    20.65 * 
Arc 	184						   107.02 	 Duree 	    19.26 * 
Arc 	185						   149.54 	 Duree 	    26.92 * 
Arc 	186						   102.97 	 Duree 	    18.53 * 
Arc 	187						   103.77 	 Duree 	    18.68 * 
Arc 	188						   148.72 	 Duree 	    26.77 * 
Arc 	189						    90.71 	 Duree 	    16.33 * 
Arc 	190						   154.43 	 Duree 	    27.80 * 
Arc 	191						   128.37 	 Duree 	    23.11 * 
Arc 	192						   110.00 	 Duree 	    19.80 * 
Arc 	193						   213.68 	 Duree 	    38.46 * 
Arc 	194						   101.97 	 Duree 	    18.35 * 
Arc 	195						    87.37 	 Duree 	    15.73 * 
Arc 	196						   213.68 	 Duree 	    38.46 * 
Arc 	197						   119.34 	 Duree 	    21.48 * 
Arc 	198						   222.20 	 Duree 	    40.00 * 
Arc 	199						   155.19 	 Duree 	    27.93 * 
Arc 	200						   117.12 	 Duree 	    21.08 * 
Arc 	201						   149.47 	 Duree 	    26.90 * 
Arc 	202						   101.00 	 Duree 	    18.18 * 
Arc 	203						   117.12 	 Duree 	    21.08 * 
Arc 	204						   107.58 	 Duree 	    19.37 * 
Arc 	205						   106.49 	 Duree 	    19.17 * 
Arc 	206						    89.32 	 Duree 	    16.08 * 
Arc 	207						   107.58 	 Duree 	    19.37 * 
Arc 	208						   103.55 	 Duree 	    18.64 * 
Arc 	209						   161.14 	 Duree 	    29.01 * 
Arc 	210						   103.55 	 Duree 	    18.64 * 
Arc 	211						    96.96 	 Duree 	    17.45 * 
Arc 	212						    80.57 	 Duree 	    14.50 * 
Arc 	213						   163.37 	 Duree 	    29.41 * 
